time,thetadot,throttle
5010,-0.03,0.05
5064,0.02,0.05
5120,-0.01,-0.00
5174,-0.01,-0.00
5228,-0.01,0.01
5283,0.02,0.01
5338,0.00,-0.02
5393,-0.01,-0.02
5447,-0.03,0.06
5501,0.03,0.06
5557,0.14,-0.31
5611,0.02,-0.31
5666,-0.03,0.19
5721,0.00,0.19
5775,-0.01,-0.01
5830,0.36,-0.01
5884,2.38,-4.90
5940,-0.38,-4.90
5994,-0.27,2.82
6048,13.66,2.82
6104,-15.15,30.68
6158,-18.20,30.68
6213,-19.51,25.49
6267,-37.10,25.49
6323,-51.67,88.05
6377,-66.95,88.05
6432,-83.79,100.00
6487,-87.54,100.00
6542,-82.02,92.75
6596,-90.42,92.75
6651,-99.05,100.00
6707,-109.55,100.00
6761,-83.39,89.36
6816,-55.29,89.36
6871,-66.92,75.41
6926,-62.47,75.41
6980,-21.55,2.23
7035,33.07,2.23
7090,77.67,-100.00
7145,80.92,-100.00
7199,52.89,-8.58
7255,61.07,-8.58
7309,42.86,-15.45
7364,48.36,-15.45
7418,57.21,-57.06
7474,69.84,-57.06
7528,64.78,-61.06
7583,66.83,-61.06
7638,63.10,-53.30
7693,68.65,-53.30
7747,75.61,-83.79
7802,70.05,-83.79
7857,68.71,-60.90
7912,66.03,-60.90
7966,71.21,-76.37
8022,67.26,-76.37
8076,75.34,-85.89
8131,72.31,-85.89
8185,112.99,-100.00
8241,110.32,-100.00
8295,79.94,-62.96
8350,72.41,-62.96
8404,-76.14,100.00
8460,-161.57,100.00
8514,-107.51,100.00
8569,-16.29,100.00
8624,12.17,-100.00
8679,-6.58,-100.00
8734,-54.54,100.00
8788,-84.72,100.00
8844,-96.67,100.00
8898,-118.62,100.00
8953,-115.44,100.00
9008,-131.49,100.00
9063,-108.36,100.00
9117,-123.88,100.00
9172,-116.54,100.00
9228,-117.80,100.00
9282,-116.93,100.00
9337,-130.12,100.00
9392,-118.78,100.00
9447,-82.13,100.00
9501,-34.93,-18.29
9556,19.15,-18.29
9611,75.66,-100.00
9666,108.10,-100.00
9720,131.16,-100.00
9776,118.16,-100.00
9831,107.41,-68.76
9885,119.17,-68.76
9940,136.77,-100.00
9995,153.37,-100.00
10050,140.72,-100.00
10104,128.94,-100.00
10160,124.41,-100.00
10215,122.44,-100.00
10269,102.09,-90.07
10324,83.74,-90.07
10379,72.78,-57.40
10434,56.18,-57.40
10489,43.85,-31.04
10544,50.22,-31.04
10599,49.76,-74.29
10653,35.28,-74.29
10708,-1.64,34.51
10763,-55.61,34.51
10818,-106.72,100.00
10872,-129.80,100.00
10928,-135.47,100.00
10983,-147.89,100.00
11037,-79.49,21.07
11092,14.53,21.07
11147,-11.96,-57.42
11202,-107.13,-57.42
11256,-68.50,100.00
11312,21.54,100.00
11367,-37.83,10.62
11421,-134.39,10.62
11476,-182.48,100.00
11531,-49.81,100.00
11586,-31.17,-100.00
11641,-124.00,-100.00
11696,-100.44,100.00
11751,8.89,100.00
11805,-26.55,-26.84
11860,-113.39,-26.84
11915,-58.21,100.00
11970,7.63,100.00
12024,16.39,-68.41
12080,51.74,-68.41
12135,60.77,-85.59
12189,67.09,-85.59
12244,37.53,3.37
12299,42.21,3.37
12354,111.56,-100.00
12408,108.45,-100.00
12464,-29.52,100.00
12519,-24.16,100.00
12573,84.41,-100.00
12628,103.88,-100.00
12683,48.89,-6.47
12738,66.76,-6.47
12792,121.28,-100.00
12848,81.04,-100.00
12902,38.18,43.87
12957,25.71,43.87
13012,56.25,-78.22
13067,65.34,-78.22
13122,86.15,-100.00
13176,90.22,-100.00
13232,62.40,-49.96
13286,31.07,-49.96
13341,14.53,21.30
13395,26.97,21.30
13451,-1.73,6.05
13505,-24.61,6.05
13560,-48.07,84.87
13616,-45.68,84.87
13670,-59.02,63.37
13725,-74.55,63.37
13779,-76.82,91.88
13835,-75.35,91.88
13889,-100.91,100.00
13944,-138.84,100.00
13999,-96.67,99.56
14054,-49.54,99.56
14109,-99.81,100.00
14163,-95.73,100.00
14219,-54.98,25.01
14273,-77.34,25.01
14328,-85.35,100.00
14384,-30.99,100.00
14438,-56.52,49.65
14493,-80.44,49.65
14547,-85.29,100.00
14603,-54.63,100.00
14657,-39.23,21.37
14712,-55.18,21.37
14767,-89.71,100.00
14822,-61.99,100.00
14877,-6.79,-43.11
14931,32.31,-43.11
14987,43.83,-63.64
15041,56.03,-63.64
15096,63.27,-55.05
15151,76.70,-55.05
15206,76.07,-65.02
15260,79.00,-65.02
15315,62.52,-28.24
15371,52.26,-28.24
15425,68.25,-56.67
15480,75.37,-56.67
15535,80.46,-79.38
15590,93.75,-79.38
15644,103.28,-100.00
15699,104.53,-100.00
15755,87.61,-68.19
15809,81.25,-68.19
15864,76.36,-65.18
15919,74.93,-65.18
15974,51.76,-29.81
16028,-6.44,-29.81
16083,-58.00,100.00
16138,-58.52,100.00
16193,-52.36,49.58
16248,-22.68,49.58
16303,-15.03,-18.70
16358,-19.10,-18.70
16412,-26.43,42.76
16467,-31.29,42.76
16522,-33.24,46.65
16577,-32.24,46.65
16631,-19.46,13.25
16687,-10.00,13.25
16742,-9.90,8.41
16796,-8.09,8.41
16850,-6.17,10.80
16906,-8.47,10.80
16961,-10.35,23.41
17015,-13.00,23.41
17071,-11.23,21.56
17125,-10.97,21.56
17180,-12.36,23.55
17234,-16.08,23.55
17290,-20.67,40.07
17344,-19.63,40.07
17399,-20.97,33.42
17455,-20.48,33.42
17509,-21.06,34.36
17564,-18.52,34.36
17618,-13.67,20.16
17674,-12.66,20.16
17728,-14.42,29.77
17783,-14.34,29.77
17838,-8.70,18.02
17893,-4.75,18.02
17947,-1.15,8.71
18002,2.86,8.71
18057,2.49,8.84
18112,1.99,8.84
18166,1.16,15.08
18222,0.58,15.08
18276,1.44,13.13
18331,2.53,13.13
18385,0.83,14.58
18441,-0.65,14.58
18495,0.40,14.81
18550,0.71,14.81
18605,-0.12,15.42
18660,0.77,15.42
18714,2.14,10.29
18769,0.43,10.29
18824,0.89,15.00
18879,0.71,15.00
18933,-0.71,16.98
18989,0.05,16.98
19043,0.43,13.08
19098,0.63,13.08
19152,-1.08,17.29
19208,0.07,17.29
19262,-0.07,13.77
19317,0.28,13.77
19372,-0.88,16.44
19427,1.77,16.44
19481,2.63,8.49
19536,0.46,8.49
19591,-0.94,19.18
19646,-2.02,19.18
19700,-0.85,15.47
19756,0.84,15.47
19810,0.17,13.51
19865,1.06,13.51
19919,0.57,13.71
19975,-0.27,13.71
20029,-0.18,15.61
20084,-0.73,15.61
20139,-0.24,14.99
20194,1.32,14.99
20248,0.54,13.35
20303,0.78,13.35
20358,0.14,14.91
20413,-0.85,14.91
20467,0.89,12.98
20523,0.08,12.98
20577,1.42,12.59
20632,0.58,12.59
20686,-0.42,16.83
20742,2.41,16.83
20796,2.58,8.85
20851,0.63,8.85
20905,1.13,14.70
20961,-0.96,14.70
21015,-1.37,18.32
21070,-0.18,18.32
21125,0.58,11.88
21180,-0.01,11.88
21234,-1.79,18.68
21289,-1.14,18.68
21344,-0.32,13.36
21399,-1.05,13.36
21453,1.03,12.11
21509,-1.29,12.11
21563,-1.26,18.08
21618,1.22,18.08
21672,1.42,10.36
21728,0.72,10.36
21782,1.36,13.10
21837,-0.53,13.10
21892,0.31,15.12
21947,-0.62,15.12
22001,-0.91,16.56
22056,-0.71,16.56
22111,-1.87,17.35
22166,-1.69,17.35
22220,-3.53,19.89
22276,-1.06,19.89
22330,2.21,6.63
22385,1.94,6.63
22439,2.43,11.82
22495,0.95,11.82
22549,-1.09,19.13
22604,0.89,19.13
22659,-0.51,14.48
22714,-1.00,14.48
22768,-0.09,14.21
22823,-0.97,14.21
22878,-2.56,19.70
22933,-0.99,19.70
22987,-4.16,20.64
23043,-0.47,20.64
23098,2.17,6.28
23152,1.15,6.28
23206,-1.50,20.03
23262,-3.64,20.03
23316,-1.31,16.03
23371,0.22,16.03
23427,-0.07,13.76
23481,-0.06,13.76
23536,-2.01,18.97
23590,-1.47,18.97
23646,-2.30,17.72
23700,-1.47,17.72
23755,0.34,12.14
23810,2.75,12.14
23865,2.98,9.36
23919,-1.66,9.36
23974,0.23,17.47
24029,-0.29,17.47
24084,-1.57,18.40
24138,-0.18,18.40
24194,-2.18,17.93
24248,-1.28,17.93
24303,2.55,7.74
24357,4.14,7.74
24413,10.34,-3.63
24467,16.71,-3.63
24522,15.07,-6.04
24577,14.47,-6.04
24632,17.14,-6.32
24686,19.75,-6.32
24741,25.46,-22.17
24796,25.39,-22.17
24851,28.65,-21.65
24905,31.27,-21.65
24961,30.54,-23.77
25015,30.32,-23.77
25070,26.04,-14.19
25125,25.40,-14.19
25180,24.35,-16.52
25235,25.63,-16.52
25289,26.62,-24.08
25345,29.90,-24.08
25399,32.58,-35.36
25454,28.80,-35.36
25508,26.00,-17.53
25564,17.82,-17.53
25619,11.48,4.34
25673,0.93,4.34
25728,-3.33,19.62
25783,-5.67,19.62
25838,-2.94,4.16
25892,-2.85,4.16
25947,-1.11,0.95
26002,-0.97,0.95
26056,-3.59,7.93
26112,-2.01,7.93
26166,-2.88,4.16
26221,-0.73,4.16
26275,-1.05,1.27
26331,-0.94,1.27
26385,-1.32,3.71
26440,-1.22,3.71
26494,-0.03,0.85
26550,-0.44,0.85
26604,-1.73,5.65
26658,-0.42,5.65
26714,-0.71,1.93
26768,0.10,1.93
26823,-0.68,2.93
26877,-2.30,2.93
26933,-3.64,9.05
26987,-9.02,9.05
27042,-19.32,38.43
27097,-38.15,38.43
27152,-56.22,99.34
27206,-55.48,99.34
27261,-57.11,67.10
27316,-55.83,67.10
27371,-54.57,63.84
27426,-57.97,63.84
27481,-57.91,75.96
27536,-58.97,75.96
27590,-50.32,59.95
27645,-40.85,59.95
27700,-43.78,56.65
27755,-45.85,56.65
27809,-42.89,63.57
27865,-34.43,63.57
27920,-40.77,62.25
27974,-37.79,62.25
28029,-26.52,37.19
28084,2.40,37.19
28139,38.28,-80.07
28193,62.61,-80.07
28249,67.02,-76.09
28303,86.67,-76.09
28358,91.56,-100.00
28413,85.32,-100.00
28468,81.91,-61.27
28523,78.69,-61.27
28577,74.21,-59.24
28633,69.55,-59.24
28687,69.38,-60.74
28742,60.07,-60.74
28796,61.13,-52.13
28852,54.99,-52.13
28907,54.79,-50.44
28961,53.04,-50.44
29017,52.20,-54.21
29071,60.39,-54.21
29126,67.76,-91.31
29180,46.77,-91.31
29236,23.66,11.27
29291,-22.16,11.27
29345,-58.21,100.00
29401,-123.94,100.00
29455,-85.09,100.00
29510,-94.68,100.00
29564,-131.31,100.00
29620,-113.17,100.00
29675,-71.03,18.87
29729,-74.71,18.87
29785,-77.75,96.48
29839,-103.39,96.48
29894,-116.72,100.00
29949,-103.06,100.00
30004,-90.70,87.05
30059,-64.81,87.05
30113,-56.12,46.73
30169,-32.82,46.73
30223,48.77,-100.00
30278,112.03,-100.00
30332,162.61,-100.00
30388,143.10,-100.00
30443,118.36,-65.41
30497,90.68,-65.41
30553,96.94,-71.68
30607,90.54,-71.68
30662,86.47,-76.47
30717,79.14,-76.47
30772,73.10,-63.86
30827,71.51,-63.86
30881,63.31,-60.83
30937,49.97,-60.83
30991,38.53,-22.97
31046,46.70,-22.97
31100,39.64,-51.96
31156,6.88,-51.96
31211,-7.94,44.70
31265,-16.58,44.70
31321,-20.10,22.46
31375,-20.01,22.46
31430,-8.18,-13.14
31484,-4.55,-13.14
31540,-3.81,-9.78
31594,-10.22,-9.78
31649,-8.62,4.67
31704,-23.72,4.67
31759,-77.11,100.00
31813,-128.91,100.00
31868,-162.50,100.00
31923,-138.62,100.00
31978,-114.02,74.45
32033,-111.40,74.45
32088,-124.46,100.00
32143,-143.24,100.00
32197,-129.25,100.00
32252,-96.47,100.00
32308,-42.39,-20.76
